No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
49,2010,1,3,0,90,-7,-6,1027,SE,58.56,4,0
50,2010,1,3,1,63,-8,-6,1026,SE,61.69,5,0
51,2010,1,3,2,65,-8,-7,1026,SE,65.71,6,0
52,2010,1,3,3,55,-8,-7,1025,SE,68.84,7,0
53,2010,1,3,4,65,-8,-7,1024,SE,72.86,8,0
54,2010,1,3,5,83,-9,-8,1024,SE,76.88,9,0
55,2010,1,3,6,91,-10,-8,1024,SE,80.9,10,0
56,2010,1,3,7,86,-10,-9,1024,SE,84.92,11,0
57,2010,1,3,8,82,-10,-9,1024,SE,89.84,12,0
58,2010,1,3,9,86,-11,-9,1023,SE,93.86,13,0
59,2010,1,3,10,78,-11,-9,1023,SE,97.88,15,0
60,2010,1,3,11,98,-11,-9,1022,SE,102.8,16,0
61,2010,1,3,12,107,-11,-9,1021,SE,105.93,17,0
62,2010,1,3,13,90,-11,-9,1020,SE,111.74,19,0
63,2010,1,3,14,96,-11,-9,1020,SE,116.66,20,0
64,2010,1,3,15,95,-11,-9,1020,SE,121.58,21,0
65,2010,1,3,16,86,-11,-9,1020,SE,124.71,22,0
66,2010,1,3,17,70,-11,-9,1020,SE,127.84,23,0
67,2010,1,3,18,61,-11,-9,1021,cv,0.89,24,0
68,2010,1,3,19,53,-11,-9,1022,cv,1.78,25,0
69,2010,1,3,20,71,-10,-9,1022,NW,4.02,26,0
70,2010,1,3,21,72,-11,-10,1023,NW,7.15,27,0
71,2010,1,3,22,76,-11,-9,1023,NW,11.17,0,0
72,2010,1,3,23,73,-12,-11,1023,NW,14.3,0,0
73,2010,1,4,0,79,-14,-12,1023,NW,16.09,0,0
74,2010,1,4,1,58,-16,-9,1023,NW,21.9,0,0
75,2010,1,4,2,25,-17,-10,1024,NW,29.95,0,0
76,2010,1,4,3,26,-18,-11,1024,NW,39.78,0,0
77,2010,1,4,4,28,-19,-11,1025,NW,48.72,0,0
78,2010,1,4,5,26,-20,-12,1026,NW,55.87,0,0
79,2010,1,4,6,20,-21,-12,1027,NW,64.81,0,0
80,2010,1,4,7,29,-21,-13,1027,NW,73.75,0,0
81,2010,1,4,8,26,-22,-13,1028,NW,80.9,0,0
82,2010,1,4,9,27,-22,-13,1029,NW,90.73,0,0
83,2010,1,4,10,27,-22,-12,1030,NW,100.56,0,0
84,2010,1,4,11,25,-23,-12,1031,NW,108.61,0,0
85,2010,1,4,12,29,-21,-11,1030,NW,117.55,0,0
86,2010,1,4,13,32,-20,-10,1030,NW,127.38,0,0
87,2010,1,4,14,28,-21,-10,1030,NW,136.32,0,0
88,2010,1,4,15,29,-21,-9,1030,NW,145.26,0,0
89,2010,1,4,16,30,-21,-9,1031,NW,152.41,0,0
90,2010,1,4,17,30,-20,-11,1032,NW,159.56,0,0
91,2010,1,4,18,28,-23,-11,1032,NW,165.37,0,0
92,2010,1,4,19,26,-21,-12,1033,NW,171.18,0,0
93,2010,1,4,20,31,-24,-12,1034,NW,180.12,0,0
94,2010,1,4,21,33,-24,-13,1034,NW,187.27,0,0
95,2010,1,4,22,29,-24,-13,1035,NW,195.32,0,0
96,2010,1,4,23,31,-26,-15,1035,NW,198.45,0,0
97,2010,1,5,0,30,-26,-17,1035,NW,201.58,0,0
98,2010,1,5,1,34,-26,-18,1035,NW,205.6,0,0
99,2010,1,5,2,27,-26,-19,1035,NW,208.73,0,0
100,2010,1,5,3,25,-27,-18,1035,NW,213.65,0,0
101,2010,1,5,4,28,-27,-19,1035,NW,218.57,0,0
102,2010,1,5,5,28,-27,-16,1034,NE,4.92,0,0
103,2010,1,5,6,27,-26,-16,1035,NE,8.05,0,0
104,2010,1,5,7,27,-27,-16,1034,NE,13.86,0,0
105,2010,1,5,8,27,-26,-16,1035,NE,18.78,0,0
106,2010,1,5,9,29,-26,-15,1035,NE,24.59,0,0
107,2010,1,5,10,36,-25,-14,1035,NE,29.51,0,0
108,2010,1,5,11,30,-25,-13,1035,NE,34.43,0,0
109,2010,1,5,12,27,-25,-12,1034,NE,39.35,0,0
110,2010,1,5,13,39,-24,-11,1032,NE,41.14,0,0
111,2010,1,5,14,41,-22,-11,1032,cv,0.89,0,0
112,2010,1,5,15,33,-23,-11,1031,NW,1.79,0,0
113,2010,1,5,16,50,-24,-11,1031,NW,3.58,0,0
114,2010,1,5,17,56,-23,-11,1031,NW,5.37,0,0
115,2010,1,5,18,59,-23,-11,1032,NW,7.16,0,0
116,2010,1,5,19,60,-22,-13,1033,NW,10.29,0,0
117,2010,1,5,20,84,-22,-12,1033,NW,13.42,0,0
118,2010,1,5,21,106,-24,-18,1033,NW,16.55,0,0
119,2010,1,5,22,66,-22,-13,1034,NW,20.57,0,0
120,2010,1,5,23,50,-22,-16,1033,NW,23.7,0,0
121,2010,1,6,0,56,-25,-17,1033,NW,26.83,0,0
122,2010,1,6,1,77,-25,-14,1033,NE,4.02,0,0
123,2010,1,6,2,50,-26,-14,1034,NE,8.04,0,0
124,2010,1,6,3,44,-26,-14,1033,NE,13.85,0,0
125,2010,1,6,4,27,-26,-14,1033,NE,17.87,0,0
126,2010,1,6,5,28,-26,-14,1033,NE,23.68,0,0
127,2010,1,6,6,21,-26,-14,1033,NE,28.6,0,0
128,2010,1,6,7,25,-26,-15,1034,NE,33.52,0,0
129,2010,1,6,8,20,-26,-14,1034,NE,39.33,0,0
130,2010,1,6,9,29,-25,-13,1035,NE,44.25,0,0
131,2010,1,6,10,34,-25,-12,1035,NE,50.06,0,0
132,2010,1,6,11,42,-24,-11,1035,NE,54.98,0,0
133,2010,1,6,12,28,-24,-10,1034,NE,59,0,0
134,2010,1,6,13,36,-22,-10,1033,NW,4.02,0,0
135,2010,1,6,14,48,-22,-9,1033,NW,5.81,0,0
136,2010,1,6,15,49,-22,-8,1033,cv,0.89,0,0
137,2010,1,6,16,52,-22,-8,1033,NW,1.79,0,0
138,2010,1,6,17,56,-21,-9,1033,NW,3.58,0,0
139,2010,1,6,18,96,-22,-9,1033,NW,5.37,0,0
140,2010,1,6,19,75,-22,-14,1034,cv,0.89,0,0
141,2010,1,6,20,105,-22,-12,1035,NW,1.79,0,0
142,2010,1,6,21,132,-21,-14,1034,NW,3.58,0,0
143,2010,1,6,22,93,-22,-16,1035,NW,5.37,0,0
144,2010,1,6,23,131,-21,-16,1035,NW,7.16,0,0
145,2010,1,7,0,127,-21,-16,1035,NW,8.95,0,0
146,2010,1,7,1,130,-21,-16,1035,cv,0.45,0,0
147,2010,1,7,2,43,-22,-18,1036,cv,1.34,0,0
148,2010,1,7,3,37,-23,-15,1036,NW,4.02,0,0
149,2010,1,7,4,30,-24,-16,1035,NW,7.15,0,0
150,2010,1,7,5,28,-25,-15,1035,NW,10.28,0,0
151,2010,1,7,6,24,-24,-15,1035,NW,14.3,0,0
152,2010,1,7,7,23,-25,-13,1036,NE,4.92,0,0
153,2010,1,7,8,24,-24,-14,1036,NW,4.02,0,0
154,2010,1,7,9,27,-23,-12,1036,NW,8.94,0,0
155,2010,1,7,10,40,-22,-11,1036,NW,12.96,0,0
156,2010,1,7,11,42,-20,-10,1036,NW,16.09,0,0
157,2010,1,7,12,42,-21,-9,1035,NW,19.22,0,0
158,2010,1,7,13,55,-21,-8,1034,NW,21.01,0,0
159,2010,1,7,14,52,-20,-7,1033,NW,22.8,0,0
160,2010,1,7,15,51,-20,-7,1032,NW,24.59,0,0
161,2010,1,7,16,57,-18,-8,1032,NW,26.38,0,0
162,2010,1,7,17,50,-19,-9,1032,NW,28.17,0,0
163,2010,1,7,18,54,-19,-11,1032,NE,0.89,0,0
164,2010,1,7,19,67,-18,-11,1033,NW,1.79,0,0
165,2010,1,7,20,106,-19,-15,1032,NE,1.79,0,0
166,2010,1,7,21,159,-19,-14,1032,cv,0.45,0,0
167,2010,1,7,22,198,-21,-14,1032,cv,1.34,0,0
168,2010,1,7,23,190,-21,-16,1032,cv,2.23,0,0
169,2010,1,8,0,210,-21,-17,1031,NW,1.79,0,0
170,2010,1,8,1,195,-19,-16,1031,NW,3.58,0,0
171,2010,1,8,2,275,-20,-16,1031,NE,0.89,0,0
172,2010,1,8,3,164,-19,-15,1030,SE,0.89,0,0
173,2010,1,8,4,110,-18,-15,1030,cv,0.45,0,0
174,2010,1,8,5,100,-18,-15,1029,cv,1.34,0,0
175,2010,1,8,6,81,-18,-15,1029,NW,1.79,0,0
176,2010,1,8,7,71,-16,-13,1029,NE,0.89,0,0
177,2010,1,8,8,66,-16,-12,1029,SE,0.89,0,0
178,2010,1,8,9,92,-16,-12,1030,SE,1.78,0,0
179,2010,1,8,10,135,-17,-10,1030,NE,0.89,0,0
180,2010,1,8,11,155,-16,-10,1029,cv,0.89,0,0
181,2010,1,8,12,198,-16,-9,1028,SE,3.13,0,0
182,2010,1,8,13,250,-15,-8,1026,SE,4.92,0,0
183,2010,1,8,14,200,-16,-8,1026,cv,0.89,0,0
184,2010,1,8,15,231,-16,-8,1025,cv,1.78,0,0
185,2010,1,8,16,250,-16,-8,1025,cv,2.67,0,0
186,2010,1,8,17,212,-17,-8,1025,SE,0.89,0,0
187,2010,1,8,18,219,-17,-9,1026,cv,0.45,0,0
188,2010,1,8,19,227,-17,-11,1026,cv,1.34,0,0
189,2010,1,8,20,226,-17,-12,1026,cv,1.79,0,0
190,2010,1,8,21,225,-18,-14,1027,NW,1.79,0,0
191,2010,1,8,22,168,-16,-9,1027,NW,4.92,0,0
192,2010,1,8,23,169,-16,-11,1027,NW,6.71,0,0
193,2010,1,9,0,165,-17,-13,1027,cv,0.89,0,0
194,2010,1,9,1,159,-17,-13,1027,NW,3.13,0,0
195,2010,1,9,2,167,-17,-14,1027,NW,4.92,0,0
196,2010,1,9,3,196,-17,-15,1027,NW,8.05,0,0
197,2010,1,9,4,169,-17,-13,1027,NW,9.84,0,0
198,2010,1,9,5,155,-19,-16,1027,NW,13.86,0,0
199,2010,1,9,6,119,-18,-15,1027,NW,17.88,0,0
200,2010,1,9,7,106,-19,-15,1027,NW,21.9,0,0
